地区,年份,GDP_亿元,GDP_当年价_亿元,GDP指数_上年=100,第二产业比重_%,总人口数_人,人口数_抽样调查_人,65岁以上人口_人,65岁以上人口_抽样调查_人,城镇化率_%,就业人员数_万人,城镇单位就业人员_万人,私营个体就业人员_万人,私营个体就业人员_NBS_万人,固定资产投资总额_亿元,固定资产投资到位资金增速_%,进出口总额_亿元人民币,进出口总额_万美元,税收收入_亿元,发明专利申请数_件,公有单位专业技术人员_人,公有单位专业技术人员_NBS_人
陕西,2006,4642.1,4743.61,112.69999999999999,53.9,34574.0,34574.0,3086.0,3086.0,39.12,2011.0,,310.31,310.3,2480.69,,,1792939.625,362.48,1815.0,612716.0,612716.0
陕西,2007,5739.7,5757.29,113.69999999999999,54.2,34383.0,34383.0,3313.0,3313.0,40.62,1922.0,,314.23,314.2,3415.02,,,688733.9,355.5,2412.0,619805.0,619805.0
陕西,2008,7256.8,7314.58,115.1,56.1,33999.0,33999.0,3260.0,3260.0,42.1,1946.56,344.4,316.31,316.3,4614.42,,,832882.6,455.6,3775.0,640119.0,640119.0
陕西,2009,8094.9,8169.8,114.6,51.9,33504.0,33504.0,3315.0,3315.0,43.5,1919.48,352.4,318.52,318.5,6246.9,,,840539.2,532.8,5858.0,647370.0,647370.0
陕西,2010,9973.0,10123.48,114.1,53.8,,,,,45.76,1952.03,364.8,338.23,338.2,7963.67,,,1210168.1,710.57,8138.0,640644.0,640644.0
陕西,2011,12320.1,12512.3,114.25,55.4,31976.0,31976.0,2715.0,2715.0,47.35,,393.7,388.27,388.3,9431.08,,,1464727.0,933.84,13037.0,651633.0,651633.0
陕西,2012,14311.5,14453.68,113.4,55.86,31315.0,31315.0,2905.0,2905.0,49.71,,411.2,420.49,420.5,12044.55,,,1479903.2,1131.55,17043.0,669381.0,
陕西,2013,16106.3,16205.45,111.95,55.5,31063.0,31063.0,3053.0,3053.0,51.57,,505.3,466.76,466.8,14884.15,,,2012806.1,1256.24,26487.0,688590.0,
陕西,2014,17635.6,17689.94,110.35,54.1,31155.0,31155.0,3306.0,3306.0,53.01,,516.5,517.5,517.5,17191.9,,,2736449.0,1335.68,24399.0,686231.0,
陕西,2015,18188.3,18021.86,109.7,50.4,589346.0,589346.0,60994.0,60994.0,54.74,,511.8,483.54,483.5,18582.24,,,,1290.33,17322.0,689493.0,
陕西,2016,19354.6,19399.59,107.85,48.92,32014.0,32014.0,3439.12,3439.0,56.39,,511.4,518.35,518.3,20825.25,,1976.81,,1204.39,22565.0,674155.0,
陕西,2017,21776.1,21898.81,107.6,49.7,31649.0,31649.0,3511.73,3512.0,58.07,,510.4,567.08,567.1,23819.38,,2719.23,,1485.58,46607.0,686038.0,
陕西,2018,24354.8,24438.32,108.0,49.75,31684.0,31684.0,3536.39,3536.0,59.65,,493.2,773.76,773.8,,6.1,3513.17,,1774.29,30888.0,,
陕西,2019,26214.5,25793.17,108.3,46.4,30158.0,30158.0,3632.55,3633.0,61.28,,501.3,1032.99,1033.0,,1.3,3514.88,,1846.11,34812.0,,
陕西,2020,26297.0,26181.86,106.0,43.4,,,,,62.66,2105.0,489.6,,,,-0.5,3777.6,,1752.14,38262.0,,
陕西,2021,30476.6,29801.0,102.2,46.32,41876.0,41876.0,5861.0,5861.0,63.63,2091.0,476.0,,,,-4.9,4757.8,,2237.04,38643.0,,
陕西,2022,33035.6,32772.7,106.5,48.6,40518.0,40518.0,5948.0,5948.0,64.02,2066.0,471.6,,,,4.5,4754.6,,2682.85,38569.0,,
陕西,2023,33976.5,33786.1,104.3,47.6,41613.0,41613.0,6338.0,6338.0,65.16,2085.0,456.4,,,,1.3,4042.0,,2693.85,41729.0,,
陕西,2024,35437.1,35538.8,104.8,40.9,40691.0,40691.0,6381.0,6381.0,66.14,2067.0,476.0,,,,-2.4,4540.84,,2613.17,48686.0,,
青海,2005,,543.32,112.2,48.7,71903.0,,4341.0,,39.25,267.62,,58.16,,329.81,,,41330.7,33.82,103.0,97080.0,
青海,2006,592.7,648.5,112.2,51.6,5049.0,5049.0,352.0,352.0,39.26,303.93,,60.71,60.7,408.54,,,129309.80500000001,42.24,79.0,101162.0,101162.0
青海,2007,729.4,797.35,112.35,53.3,5045.0,5045.0,329.0,329.0,40.07,276.29,,58.85,58.9,482.84,,,61207.3,43.29,91.0,102388.0,102388.0
青海,2008,909.2,1018.62,112.6,55.1,5007.0,5007.0,343.0,343.0,40.86,276.79,47.0,54.65,54.6,583.24,,,68882.3,55.9,148.0,103258.0,103258.0
青海,2009,953.3,1081.27,111.4,53.2,4934.0,4934.0,345.0,345.0,41.9,285.54,50.6,57.09,57.1,798.23,,,58678.5,70.17,175.0,104505.0,104505.0
青海,2010,1160.8,1350.43,112.69999999999999,55.1,,,,,44.72,294.1,52.6,60.38,60.4,1016.87,,,78896.1,88.94,193.0,106063.0,106063.0
青海,2011,1388.3,1670.44,114.4,58.4,4854.0,4854.0,288.0,288.0,46.53,,60.6,64.47,64.5,1435.58,,,92381.8,119.85,204.0,109641.0,109641.0
青海,2012,1547.9,1893.54,112.9,57.69,4782.0,4782.0,335.0,335.0,47.85,,61.7,69.87,69.9,1883.42,,,115747.0,146.69,298.0,103713.0,
青海,2013,1736.1,2122.06,111.55,57.3,4769.0,4769.0,341.0,341.0,49.29,,64.2,66.54,66.5,2361.09,,,140274.3,175.05,520.0,118183.0,
青海,2014,1875.1,2303.32,110.0,53.6,4816.0,4814.0,342.0,342.0,50.84,,63.2,72.1,72.1,2861.2,,,171789.0,199.39,660.0,116328.0,
青海,2015,2054.3,2417.05,109.2,49.95,91611.0,91611.0,6502.0,6502.0,51.67,,62.7,70.8,70.8,3210.63,,,,205.81,1103.0,118892.0,
青海,2016,2310.7,2572.49,108.2,48.59,4987.0,4987.0,360.19,360.0,53.55,,63.1,81.75,81.7,3528.05,,100.87,,176.48,1381.0,120520.0,
青海,2017,2517.0,2624.83,108.0,44.29,4939.0,4939.0,390.2,390.0,55.45,,63.3,98.43,98.4,3883.55,,44.45,,183.96,949.0,122754.0,
青海,2018,2799.9,2865.23,107.3,43.52,4945.0,4945.0,375.48,375.0,57.27,,62.7,113.89,113.9,,0.1,48.17,,205.49,1287.0,,
青海,2019,3020.2,2965.95,107.2,39.1,4733.0,4733.0,403.52,404.0,58.78,,67.0,123.1,123.1,,10.8,37.55,,198.7,1232.0,,
青海,2020,3080.6,3005.92,106.3,38.0,,,,,60.08,279.0,66.4,,,,-10.9,23.0,,213.27,1417.0,,
青海,2021,3446.3,3346.6,101.5,39.82,6289.0,6289.0,622.0,622.0,61.02,277.0,67.1,,,,-7.4,31.3,,234.73,1585.0,,
青海,2022,3677.4,3610.1,105.7,43.9,6094.0,6094.0,623.0,623.0,61.43,256.0,65.8,,,,-6.3,40.5,,255.84,1459.0,,
青海,2023,3849.2,3799.1,102.3,42.5,6255.0,6255.0,654.0,654.0,62.8,271.0,65.9,,,,-0.6,48.7,,282.97,1790.0,,
青海,2024,3965.5,3950.8,104.0,42.1,6108.0,6108.0,646.0,646.0,63.86,267.0,69.5,,,,-3.3,60.11,,263.58,2109.0,,
黑龙江,2005,,5513.7,111.6,53.9,505647.0,,38437.0,,53.1,1625.84,,250.84,,1737.27,,,956601.72,318.21,1598.0,652998.0,
黑龙江,2006,5386.1,6211.8,111.85,54.4,35504.0,35504.0,2864.0,2864.0,53.5,1784.1,,258.76,258.8,2236.0,,,1693429.035,386.84,1911.0,659834.0,659834.0
黑龙江,2007,6193.7,7104.0,112.05,52.3,35193.0,35193.0,3147.0,3147.0,53.9,1659.86,,279.7,279.7,2833.5,,,1729659.3,334.97,2386.0,678135.0,678135.0
黑龙江,2008,7215.1,8314.37,111.9,52.5,34688.0,34688.0,3163.0,3163.0,55.4,1670.16,475.1,312.67,312.7,3655.97,,,2313059.3,420.21,3047.0,691278.0,691278.0
黑龙江,2009,7315.8,8587.0,111.6,47.3,34065.0,34065.0,2951.0,2951.0,55.5,1687.47,469.1,331.76,331.8,5028.83,,,1622951.3,444.31,3384.0,688326.0,688326.0
黑龙江,2010,8434.7,10368.6,112.05000000000001,50.2,,,,,55.66,1743.39,460.0,393.94,393.9,6812.56,,,2551541.5,556.97,4070.0,676844.0,676844.0
黑龙江,2011,10074.0,12582.0,112.5,50.3,32757.0,32757.0,2618.0,2618.0,56.49,,466.2,442.62,442.6,7475.38,,,3852267.5,741.85,5063.0,663207.0,663207.0
黑龙江,2012,11171.0,13691.58,111.15,44.1,31990.0,31990.0,2827.0,2827.0,56.88,,471.0,504.2,504.2,9694.75,,,3759029.1,837.8,7068.0,637316.0,
黑龙江,2013,12017.0,14454.91,109.0,41.1,31651.0,31651.0,2830.0,2830.0,58.04,,467.8,531.33,531.3,11453.08,,,3887909.4,912.82,10338.0,656112.0,
黑龙江,2014,12357.1,15039.38,106.8,36.9,31632.0,31632.0,2971.0,2971.0,59.22,,450.9,472.5,472.5,9829.0,,,3890093.0,977.4,13468.0,654969.0,
黑龙江,2015,12023.2,15083.67,105.6,31.81,592705.0,592705.0,64239.0,64239.0,60.47,,433.5,303.37,303.4,10182.95,,,,880.34,14663.0,640181.0,
黑龙江,2016,12280.9,15386.09,105.66,28.6,31874.0,31874.0,3805.25,3805.0,61.09,,424.9,362.52,362.5,10648.35,,1093.84,,827.85,13177.0,621962.0,
黑龙江,2017,12659.5,15902.68,106.1,25.53,31251.0,31251.0,3793.17,3793.0,61.9,,413.0,402.98,403.0,11291.98,,1281.66,,901.91,10607.0,619733.0,
黑龙江,2018,13205.7,16361.62,106.36,24.64,30946.0,30946.0,3779.65,3780.0,63.46,,392.7,459.23,459.2,,-0.3,1749.51,,980.8,12017.0,,
黑龙江,2019,13962.5,13612.68,104.7,26.6,29177.0,29177.0,4020.45,4020.0,64.62,,349.6,539.73,539.7,,4.1,1866.87,,924.4,13125.0,,
黑龙江,2020,14000.1,13698.5,104.2,25.4,,,,,65.61,1473.0,316.4,,,,1.3,1539.2,,811.92,13163.0,,
黑龙江,2021,15292.8,14879.2,101.0,26.72,33098.0,33098.0,5553.0,5553.0,65.69,1420.0,311.2,,,,-1.5,1995.0,,870.18,15018.0,,
黑龙江,2022,16359.2,15901.0,106.1,29.2,31744.0,31744.0,5657.0,5657.0,66.21,1351.0,297.9,,,,0.5,2651.5,,793.37,14770.0,,
黑龙江,2023,16470.7,15883.9,102.7,27.0,32242.0,32242.0,6065.0,6065.0,67.11,1319.0,274.6,,,,-12.6,2980.1,,859.65,14726.0,,
黑龙江,2024,16478.1,16476.9,102.9,25.2,31174.0,31174.0,6051.0,6051.0,68.05,1305.0,292.2,,,,7.9,3122.05,,871.83,16248.0,,
